id,gid,x,y,v_x,v_y,radius,time
0,0,10.166670,0.355199,0.005695,0.000945,0.200000,0.100000
1,0,12.549137,0.592143,0.007365,0.006159,0.200000,0.100000
2,0,7.322195,-0.121762,0.001555,0.002187,0.200000,0.100000
3,0,6.802728,-0.841057,-0.018120,-0.006790,0.200000,0.100000
4,0,8.834748,0.700124,-0.003016,0.001122,0.200000,0.100000
5,0,5.223991,0.534223,0.003310,-0.003804,0.200000,0.100000
6,0,13.695142,-1.049967,-0.003583,-0.001371,0.200000,0.100000
7,0,10.860131,-0.170246,0.001314,-0.004010,0.200000,0.100000
8,0,13.312304,-0.538260,-0.005959,-0.008188,0.200000,0.100000
9,0,8.029564,-0.220628,0.000138,-0.000039,0.200000,0.100000
10,0,6.862296,0.221562,-0.010044,0.020235,0.200000,0.100000
11,0,14.761181,-0.691888,0.002809,-0.006398,0.200000,0.100000
12,0,13.409108,0.595968,-0.007918,0.004637,0.200000,0.100000
13,0,8.528292,0.133174,0.019920,0.013883,0.200000,0.100000
14,0,6.812412,-0.414488,0.000722,0.004127,0.200000,0.100000
15,0,13.607583,1.022704,-0.045172,0.018641,0.200000,0.100000
16,0,6.444983,0.049578,-0.006768,-0.004086,0.200000,0.100000
17,0,6.779395,0.883249,-0.000253,0.003518,0.200000,0.100000
18,0,9.499460,-0.437373,0.010300,0.002679,0.200000,0.100000
19,0,7.332141,-0.838379,-0.001487,0.010106,0.200000,0.100000
20,1,7.301356,7.714896,0.012856,0.015362,0.200000,0.100000
21,1,8.366456,-4.194925,0.003559,0.002250,0.200000,0.100000
22,1,7.111546,2.336052,-0.000443,0.000020,0.200000,0.100000
23,1,9.088300,-3.076071,-0.000303,0.006185,0.200000,0.100000
24,1,5.310182,5.490070,0.000415,0.001000,0.200000,0.100000
25,1,8.413851,-2.028738,0.009811,0.004416,0.200000,0.100000
26,1,6.822332,6.567356,0.003624,-0.009543,0.200000,0.100000
27,1,5.167931,1.222319,0.009111,-0.009110,0.200000,0.100000
28,1,4.809483,3.022741,-0.000670,-0.000292,0.200000,0.100000
29,1,4.812165,0.703402,-0.003049,-0.056523,0.200000,0.100000
30,1,7.604571,3.443550,0.014415,-0.033401,0.200000,0.100000
31,1,7.275835,-4.344816,0.000249,0.001341,0.200000,0.100000
32,1,5.644828,2.236935,0.000982,-0.027248,0.200000,0.100000
33,1,7.977291,5.364073,-0.000293,-0.000366,0.200000,0.100000
34,1,4.926380,6.636930,-0.007396,0.006303,0.200000,0.100000
35,1,9.183749,3.785627,-0.005814,0.009471,0.200000,0.100000
36,1,6.195866,4.208126,-0.006235,-0.001937,0.200000,0.100000
37,1,8.551544,3.856779,-0.011763,-0.058508,0.200000,0.100000
38,1,9.147006,4.630021,0.056960,-0.018388,0.200000,0.100000
39,1,6.799481,8.868806,0.005710,0.003061,0.200000,0.100000
0,0,10.164509,0.352066,-0.021609,-0.031325,0.200000,0.200000
