id,gid,x,y,v_x,v_y,radius,time
4,4,-7.911052,-0.020650,0.304884,-0.087895,0.500000,1.000000
5,5,-5.628838,-5.610709,0.057853,0.090554,0.500000,1.000000
6,6,-0.001345,-7.985506,0.005152,0.044491,0.500000,1.000000
7,7,5.593607,-5.589217,-0.122855,0.268631,0.500000,1.000000
0,0,7.781017,0.068780,-0.570585,0.051054,0.500000,1.100000
1,1,5.623403,5.639391,-0.114206,-0.044797,0.500000,1.100000
2,2,0.006023,7.974209,0.058635,-0.089484,0.500000,1.100000
3,3,-5.583703,5.574319,0.210449,-0.240250,0.500000,1.100000
4,4,-7.875257,-0.031104,0.357955,-0.104544,0.500000,1.100000
5,5,-5.623096,-5.599124,0.057416,0.115849,0.500000,1.100000
6,6,-0.005988,-7.977387,-0.046424,0.081193,0.500000,1.100000
7,7,5.581293,-5.555399,-0.123140,0.338178,0.500000,1.100000
0,0,7.721120,0.081608,-0.598968,0.128273,0.500000,1.200000
1,1,5.611011,5.634119,-0.123921,-0.052727,0.500000,1.200000
2,2,0.013965,7.961350,0.079420,-0.128592,0.500000,1.200000
3,3,-5.563889,5.538807,0.198143,-0.355117,0.500000,1.200000
4,4,-7.844603,-0.041057,0.306540,-0.099526,0.500000,1.200000
5,5,-5.612640,-5.583653,0.104563,0.154712,0.500000,1.200000
6,6,-0.011076,-7.969927,-0.050886,0.074598,0.500000,1.200000
7,7,5.542770,-5.499596,-0.385230,0.558027,0.500000,1.200000
0,0,7.645120,0.089231,-0.760000,0.076236,0.500000,1.300000
1,1,5.597900,5.627150,-0.131102,-0.069691,0.500000,1.300000
2,2,0.015894,7.938016,0.019288,-0.233344,0.500000,1.300000
3,3,-5.521138,5.504184,0.427502,-0.346233,0.500000,1.300000
4,4,-7.801942,-0.050451,0.426607,-0.093947,0.500000,1.300000
5,5,-5.585784,-5.562069,0.268563,0.215839,0.500000,1.300000
6,6,-0.014583,-7.962595,-0.035067,0.073325,0.500000,1.300000
7,7,5.509700,-5.435829,-0.330701,0.637670,0.500000,1.300000
0,0,7.548540,0.077266,-0.965800,-0.119649,0.500000,1.400000
1,1,5.585339,5.612997,-0.125614,-0.141528,0.500000,1.400000
2,2,0.015248,7.898768,-0.006457,-0.392478,0.500000,1.400000
3,3,-5.458543,5.450791,0.625951,-0.533925,0.500000,1.400000
4,4,-7.751617,-0.051000,0.503249,-0.005489,0.500000,1.400000
5,5,-5.563154,-5.540262,0.226296,0.218069,0.500000,1.400000
6,6,-0.017656,-7.955932,-0.030727,0.066624,0.500000,1.400000
7,7,5.475878,-5.367164,-0.338225,0.686650,0.500000,1.400000
0,0,7.461278,0.081937,-0.872623,0.046712,0.500000,1.500000
1,1,5.565614,5.593362,-0.197251,-0.196348,0.500000,1.500000
2,2,0.011684,7.849543,-0.035639,-0.492250,0.500000,1.500000
3,3,-5.403805,5.394403,0.547379,-0.563879,0.500000,1.500000
4,4,-7.686193,-0.058663,0.654242,-0.076632,0.500000,1.500000
5,5,-5.523073,-5.508447,0.400808,0.318147,0.500000,1.500000
6,6,-0.027237,-7.943194,-0.095815,0.127383,0.500000,1.500000
7,7,5.440507,-5.283687,-0.353706,0.834768,0.500000,1.500000
0,0,7.364790,0.087304,-0.964879,0.053664,0.500000,1.600000
1,1,5.546558,5.566617,-0.190560,-0.267450,0.500000,1.600000
2,2,0.013798,7.774192,0.021138,-0.753510,0.500000,1.600000
3,3,-5.325129,5.340232,0.786761,-0.541715,0.500000,1.600000
4,4,-7.614784,-0.070692,0.714097,-0.120284,0.500000,1.600000
5,5,-5.472433,-5.478101,0.506407,0.303466,0.500000,1.600000
6,6,-0.038990,-7.923529,-0.117531,0.196648,0.500000,1.600000
7,7,5.387329,-5.206104,-0.531778,0.775829,0.500000,1.600000
0,0,7.223641,0.104261,-1.411489,0.169569,0.500000,1.700000
1,1,5.523394,5.543039,-0.231642,-0.235776,0.500000,1.700000
2,2,0.010002,7.655955,-0.037959,-1.182373,0.500000,1.700000
3,3,-5.263941,5.284550,0.611885,-0.556815,0.500000,1.700000
4,4,-7.540704,-0.079501,0.740796,-0.088093,0.500000,1.700000
5,5,-5.417942,-5.427627,0.544911,0.504734,0.500000,1.700000
6,6,-0.051825,-7.905629,-0.128350,0.178999,0.500000,1.700000
7,7,5.324680,-5.127932,-0.626495,0.781724,0.500000,1.700000
0,0,7.095360,0.145376,-1.282812,0.411152,0.500000,1.800000
1,1,5.502247,5.515859,-0.211468,-0.271802,0.500000,1.800000
2,2,-0.010110,7.531401,-0.201120,-1.245535,0.500000,1.800000
3,3,-5.184204,5.205559,0.797365,-0.789910,0.500000,1.800000
4,4,-7.460805,-0.081238,0.798993,-0.017371,0.500000,1.800000
5,5,-5.364534,-5.354897,0.534074,0.727304,0.500000,1.800000
6,6,-0.076398,-7.875532,-0.245732,0.300971,0.500000,1.800000
7,7,5.271036,-5.044635,-0.536440,0.832972,0.500000,1.800000
0,0,6.997735,0.134897,-0.976249,-0.104790,0.500000,1.900000
1,1,5.479529,5.488407,-0.227176,-0.274524,0.500000,1.900000
2,2,-0.032994,7.403213,-0.228842,-1.281885,0.500000,1.900000
3,3,-5.086880,5.111790,0.973239,-0.937692,0.500000,1.900000
4,4,-7.358182,-0.076691,1.026231,0.045472,0.500000,1.900000
5,5,-5.296575,-5.273534,0.679591,0.813624,0.500000,1.900000
6,6,-0.095931,-7.843738,-0.195321,0.317941,0.500000,1.900000
7,7,5.229069,-4.959160,-0.419670,0.854746,0.500000,1.900000
0,0,6.867115,0.140684,-1.306201,0.057871,0.500000,2.000000
1,1,5.456326,5.449827,-0.232031,-0.385795,0.500000,2.000000
2,2,-0.051254,7.271023,-0.182599,-1.321902,0.500000,2.000000
3,3,-4.980913,5.037754,1.059671,-0.740363,0.500000,2.000000
4,4,-7.255885,-0.098322,1.022967,-0.216309,0.500000,2.000000
5,5,-5.243672,-5.191750,0.529036,0.817845,0.500000,2.000000
6,6,-0.119686,-7.803352,-0.237551,0.403865,0.500000,2.000000
7,7,5.197465,-4.873748,-0.316044,0.854124,0.500000,2.000000
0,0,6.724868,0.126147,-1.422469,-0.145371,0.500000,2.100000
1,1,5.421216,5.403908,-0.351098,-0.459193,0.500000,2.100000
2,2,-0.031919,7.126984,0.193352,-1.440386,0.500000,2.100000
3,3,-4.873662,4.944493,1.072511,-0.932608,0.500000,2.100000
4,4,-7.161172,-0.142553,0.947131,-0.442308,0.500000,2.100000
5,5,-5.177240,-5.101194,0.664313,0.905557,0.500000,2.100000
6,6,-0.120738,-7.757620,-0.010520,0.457315,0.500000,2.100000
7,7,5.146398,-4.820652,-0.510665,0.530955,0.500000,2.100000
0,0,6.588569,0.113739,-1.362989,-0.124084,0.500000,2.200000
1,1,5.386160,5.346153,-0.350561,-0.577548,0.500000,2.200000
2,2,-0.008394,6.969852,0.235245,-1.571318,0.500000,2.200000
3,3,-4.773569,4.868792,1.000930,-0.757005,0.500000,2.200000
4,4,-7.063859,-0.175889,0.973125,-0.333359,0.500000,2.200000
5,5,-5.075973,-5.007178,1.012668,0.940162,0.500000,2.200000
6,6,-0.115688,-7.685063,0.050501,0.725566,0.500000,2.200000
7,7,5.091814,-4.760546,-0.545837,0.601059,0.500000,2.200000
0,0,6.483945,0.102532,-1.046245,-0.112070,0.500000,2.300000
1,1,5.339751,5.283732,-0.464092,-0.624208,0.500000,2.300000
2,2,-0.013623,6.840232,-0.052282,-1.296200,0.500000,2.300000
3,3,-4.695547,4.810913,0.780226,-0.578791,0.500000,2.300000
4,4,-6.966736,-0.185876,0.971231,-0.099874,0.500000,2.300000
5,5,-5.015277,-4.898120,0.606968,1.090578,0.500000,2.300000
6,6,-0.117254,-7.614570,-0.015666,0.704937,0.500000,2.300000
7,7,5.029366,-4.685751,-0.624486,0.747955,0.500000,2.300000
0,0,6.355683,0.105100,-1.282612,0.025682,0.500000,2.400000
1,1,5.276138,5.209886,-0.636128,-0.738465,0.500000,2.400000
2,2,0.020187,6.699330,0.338093,-1.409025,0.500000,2.400000
3,3,-4.585198,4.753188,1.103487,-0.577256,0.500000,2.400000
4,4,-6.873718,-0.173255,0.930186,0.126207,0.500000,2.400000
5,5,-4.928293,-4.796978,0.869839,1.011419,0.500000,2.400000
6,6,-0.113840,-7.496396,0.034145,1.181741,0.500000,2.400000
7,7,4.959077,-4.603069,-0.702884,0.826821,0.500000,2.400000
0,0,6.249008,0.145026,-1.066757,0.399264,0.500000,2.500000
