id,gid,x,y,v_x,v_y,radius,time
0,0,-8.997539,-0.999550,0.024606,0.004499,0.750000,0.100000
1,0,-8.999653,1.001369,0.003471,0.013686,0.750000,0.100000
2,1,-0.006184,0.002020,-0.061842,0.020204,0.750000,0.100000
0,0,-8.996439,-1.000983,0.011007,-0.014325,0.750000,0.200000
1,0,-8.999254,1.001812,0.003992,0.004432,0.750000,0.200000
2,1,-0.013005,0.004856,-0.068213,0.028355,0.750000,0.200000
0,0,-8.994511,-1.002998,0.019277,-0.020152,0.750000,0.300000
1,0,-8.999191,1.002608,0.000632,0.007961,0.750000,0.300000
2,1,-0.024220,0.006834,-0.112147,0.019778,0.750000,0.300000
0,0,-8.990474,-1.006377,0.040368,-0.033793,0.750000,0.400000
1,0,-8.997815,1.002811,0.013757,0.002034,0.750000,0.400000
2,1,-0.034958,0.011513,-0.107375,0.046796,0.750000,0.400000
0,0,-8.985449,-1.011071,0.050254,-0.046936,0.750000,0.500000
1,0,-8.996301,1.003260,0.015142,0.004483,0.750000,0.500000
2,1,-0.047144,0.021281,-0.121863,0.097673,0.750000,0.500000
0,0,-8.975418,-1.019938,0.100304,-0.088671,0.750000,0.600000
1,0,-8.992693,1.006123,0.036078,0.028634,0.750000,0.600000
2,1,-0.063704,0.030916,-0.165606,0.096358,0.750000,0.600000
0,0,-8.966807,-1.026608,0.086114,-0.066699,0.750000,0.700000
1,0,-8.986231,1.009801,0.064618,0.036775,0.750000,0.700000
2,1,-0.088010,0.033831,-0.243057,0.029142,0.750000,0.700000
0,0,-8.956263,-1.028451,0.105442,-0.018434,0.750000,0.800000
1,0,-8.978313,1.013937,0.079177,0.041361,0.750000,0.800000
2,1,-0.133299,0.022356,-0.452891,-0.114747,0.750000,0.800000
0,0,-8.943882,-1.032214,0.123811,-0.037626,0.750000,0.900000
1,0,-8.964574,1.026067,0.137398,0.121304,0.750000,0.900000
2,1,-0.221437,0.026967,-0.881380,0.046109,0.750000,0.900000
0,0,-8.925099,-1.032101,0.187827,0.001127,0.750000,1.000000
1,0,-8.951945,1.038108,0.126285,0.120410,0.750000,1.000000
2,1,-0.311880,0.026106,-0.904424,-0.008613,0.750000,1.000000
0,0,-8.887993,-1.030861,0.371063,0.012399,0.750000,1.100000
1,0,-8.934966,1.046739,0.169793,0.086308,0.750000,1.100000
2,1,-0.414335,0.033509,-1.024558,0.074035,0.750000,1.100000
0,0,-8.837607,-1.037290,0.503862,-0.064289,0.750000,1.200000
1,0,-8.912586,1.053943,0.223801,0.072046,0.750000,1.200000
2,1,-0.533622,0.013911,-1.192866,-0.195984,0.750000,1.200000
0,0,-8.761762,-1.050909,0.758450,-0.136187,0.750000,1.300000
1,0,-8.883162,1.064486,0.294232,0.105425,0.750000,1.300000
2,1,-0.629352,0.004905,-0.957300,-0.090058,0.750000,1.300000
0,0,-8.666812,-1.043636,0.949491,0.072730,0.750000,1.400000
1,0,-8.847472,1.077238,0.356907,0.127516,0.750000,1.400000
2,1,-0.729102,-0.004437,-0.997501,-0.093423,0.750000,1.400000
0,0,-8.567983,-1.038637,0.988292,0.049991,0.750000,1.500000
1,0,-8.815656,1.085734,0.318162,0.084969,0.750000,1.500000
2,1,-0.831889,-0.020748,-1.027864,-0.163109,0.750000,1.500000
0,0,-8.453457,-1.032694,1.145262,0.059427,0.750000,1.600000
1,0,-8.765037,1.100498,0.506182,0.147634,0.750000,1.600000
2,1,-0.943478,-0.010883,-1.115890,0.098651,0.750000,1.600000
0,0,-8.313714,-1.013615,1.397427,0.190787,0.750000,1.700000
1,0,-8.693078,1.106811,0.719594,0.063131,0.750000,1.700000
2,1,-1.056460,0.006668,-1.129820,0.175513,0.750000,1.700000
0,0,-8.210917,-0.983227,1.027973,0.303884,0.750000,1.800000
1,0,-8.616814,1.094623,0.762637,-0.121882,0.750000,1.800000
2,1,-1.185079,0.032459,-1.286197,0.257912,0.750000,1.800000
0,0,-8.087774,-0.994732,1.231426,-0.115053,0.750000,1.900000
1,0,-8.547610,1.078636,0.692045,-0.159862,0.750000,1.900000
2,1,-1.306499,0.051765,-1.214198,0.193060,0.750000,1.900000
0,0,-7.958700,-0.985915,1.290740,0.088170,0.750000,2.000000
1,0,-8.461468,1.057206,0.861414,-0.214308,0.750000,2.000000
2,1,-1.421239,0.048814,-1.147396,-0.029512,0.750000,2.000000
0,0,-7.835771,-0.968854,1.229295,0.170613,0.750000,2.100000
1,0,-8.383653,1.046143,0.778158,-0.110623,0.750000,2.100000
2,1,-1.557784,0.057940,-1.365453,0.091261,0.750000,2.100000
0,0,-7.709276,-0.947740,1.264947,0.211133,0.750000,2.200000
1,0,-8.294499,1.035999,0.891533,-0.101447,0.750000,2.200000
2,1,-1.664239,0.027890,-1.064551,-0.300499,0.750000,2.200000
0,0,-7.587784,-0.949763,1.214924,-0.020225,0.750000,2.300000
1,0,-8.202826,1.044638,0.916729,0.086393,0.750000,2.300000
2,1,-1.786339,0.016227,-1.220995,-0.116631,0.750000,2.300000
0,0,-7.448414,-0.957003,1.393700,-0.072405,0.750000,2.400000
1,0,-8.115579,1.057334,0.872475,0.126965,0.750000,2.400000
2,1,-1.911527,0.015254,-1.251884,-0.009731,0.750000,2.400000
0,0,-7.305777,-0.971284,1.426365,-0.142805,0.750000,2.500000
1,0,-8.008297,1.066623,1.072817,0.092888,0.750000,2.500000
2,1,-1.994465,0.022787,-0.829380,0.075333,0.750000,2.500000
0,0,-7.164920,-0.968022,1.408573,0.032619,0.750000,2.600000
1,0,-7.899297,1.059833,1.090004,-0.067902,0.750000,2.600000
2,1,-2.098555,0.005161,-1.040902,-0.176265,0.750000,2.600000
0,0,-7.056620,-0.984352,1.082997,-0.163298,0.750000,2.700000
1,0,-7.798703,1.060490,1.005944,0.006572,0.750000,2.700000
2,1,-2.228192,-0.000514,-1.296370,-0.056753,0.750000,2.700000
0,0,-6.947368,-0.977265,1.092518,0.070869,0.750000,2.800000
1,0,-7.690594,1.052607,1.081083,-0.078835,0.750000,2.800000
2,1,-2.298855,0.020465,-0.706632,0.209795,0.750000,2.800000
0,0,-6.797631,-0.956049,1.497378,0.212161,0.750000,2.900000
1,0,-7.572854,1.055320,1.177406,0.027129,0.750000,2.900000
2,1,-2.404196,0.070921,-1.053408,0.504555,0.750000,2.900000
0,0,-6.646676,-0.920064,1.509543,0.359847,0.750000,3.000000
1,0,-7.431467,1.088037,1.413863,0.327170,0.750000,3.000000
2,1,-2.554148,0.125806,-1.499525,0.548858,0.750000,3.000000
0,0,-6.492442,-0.932950,1.542347,-0.128863,0.750000,3.100000
1,0,-7.302490,1.090182,1.289769,0.021456,0.750000,3.100000
2,1,-2.660980,0.202967,-1.068315,0.771607,0.750000,3.100000
0,0,-6.328168,-0.936208,1.642740,-0.032577,0.750000,3.200000
1,0,-7.155729,1.078173,1.467611,-0.120090,0.750000,3.200000
2,1,-2.763805,0.238117,-1.028247,0.351502,0.750000,3.200000
0,0,-6.215916,-0.933370,1.122521,0.028382,0.750000,3.300000
1,0,-7.066293,1.063234,0.894359,-0.149390,0.750000,3.300000
